Project,Dataset,Table
gcp-wow-rwds-ai-safari-prod,Attribution_Safari_Matching,cx_impact_analysis_final_20220815
gcp-wow-rwds-ai-safari-prod,Attribution_Safari_Matching,cx_impact_analysis_final_20220815
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling,mc_final_crn_20220613_backup
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling,mc_final_crn_20220620_backup
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling,mc_final_crn_post_20220613_backup
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling,mc_final_crn_post_20220620_backup
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling,safarievents_final_20230515_backup
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling,safarievents_final_20231030_backup
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling,safarievents_final_agg_20230626_backup
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling,safarievents_final_agg_20231030_backup
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling,safarievents_final_agg_backup_20220620_v2
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling,safarievents_final_agg_backup_20220627_v0
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling,safarievents_final_agg_backup_20220627_v1
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling,safarievents_final_agg_backup_20220627_v2
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling,safarievents_final_agg_backup_20230612_Carol
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling,safarievents_final_agg_backup_20230626_backup
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling,safarievents_final_agg_temp
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling,safarievents_final_backup_20220620_v2
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling,safarievents_final_backup_20220627_v0
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling,safarievents_final_backup_20220627_v1
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling,safarievents_final_backup_20220627_v2
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling,safarievents_final_missing_20240226
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling,safarievents_final_missing_20240304
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling,safarievents_final_missing_20240311
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling,safarievents_final_missing_20240318
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling,safarievents_final_missing_20240325
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling,safarievents_final_missing_20240401
